Source IP,Destination IP,Protocol,Source Port,Dst Port,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Fwd Pkt Len Max,Bwd Pkt Len Max,Flow Byts/s,Flow Pkts/s,Prediction
192.168.29.228,34.139.124.58,6.0,57813.0,443.0,0.0,1,0,152,0,0.0,0.0,1
192.168.29.228,34.139.124.58,6.0,57813.0,443.0,0.00041103363037109375,2,0,627,0,1895222.0510440834,4865.781902552204,1
34.139.124.58,192.168.29.228,6.0,443.0,57813.0,0.0,1,0,66,0,0.0,0.0,1
34.139.124.58,192.168.29.228,6.0,443.0,57813.0,0.0004296302795410156,2,0,101,0,388706.30854605994,4655.165371809101,1
34.139.124.58,192.168.29.228,6.0,443.0,57813.0,0.0008230209350585938,3,0,499,0,809213.9235225955,3645.1077636152954,1
34.139.124.58,192.168.29.228,6.0,443.0,57813.0,0.0011777877807617188,4,0,499,0,647824.6866396761,3396.1975708502023,1
192.168.29.228,34.139.124.58,6.0,57813.0,443.0,0.2835240364074707,3,0,627,0,2980.346960021393,10.581113467531573,1
192.168.29.235,192.168.29.255,17.0,45987.0,5775.0,0.0,1,0,85,0,0.0,0.0,1
192.168.29.235,192.168.29.255,17.0,45987.0,5775.0,2.0479607582092285,2,0,85,0,83.00940304571601,0.9765812123025412,1
192.168.29.228,224.0.0.22,0.0,,,0.0,1,0,54,0,0.0,0.0,1
192.168.29.235,192.168.29.255,17.0,45987.0,5775.0,4.0958638191223145,3,0,85,0,62.2579292820929,0.7324462268481517,1
192.168.29.235,192.168.29.255,17.0,45987.0,5775.0,6.098277807235718,4,0,85,0,55.753445603377365,0.6559228894514985,1
192.168.29.228,140.82.114.21,6.0,64489.0,443.0,0.0,1,0,1413,0,0.0,0.0,1
140.82.114.21,192.168.29.228,6.0,443.0,64489.0,0.0,1,0,114,0,0.0,0.0,1
192.168.29.228,140.82.114.21,6.0,64489.0,443.0,0.3907487392425537,2,0,1413,0,3785.041003246652,5.11837863860264,1
140.82.114.21,192.168.29.228,6.0,443.0,64489.0,0.30770206451416016,2,0,529,0,2089.6837368161687,6.499793893673931,1
192.168.29.228,140.82.114.21,6.0,64489.0,443.0,0.6985068321228027,3,0,1413,0,2211.8609710726173,4.294875671985665,1
192.168.29.235,192.168.29.255,17.0,45987.0,5775.0,8.19192886352539,5,0,85,0,51.88033332324392,0.610356862626399,1
